location_day_id,location,event_date,status,confirming_url,confirmation_method,query_used,reason
LD-2026-03-08-تبنين (Tibnine),تبنين (Tibnine),2026-03-08,unresolved,,,"(""Tibnine"" OR ""Tebnine"" OR ""Tibnin"") AND Lebanon","DOWNGRADED on duplicate-source audit: Same confirming URL (Dawn, generic ""8 killed"" headline) was auto-matched to two different Tibnine dates (Mar 8 and Mar 9) with no date-specific text distinguishing them; downgraded both pending manual date verification."
LD-2026-03-08-صير الغربية (Sir al-Gharbiyeh),صير الغربية (Sir al-Gharbiyeh),2026-03-08,covered,https://www.antiwar.com/blog/2026/03/10/10-classrooms-full-of-children-us-israeli-war-kills-hundreds-of-iranian-lebanese-kids/,"alias match: ""sir el-gharbiyeh""","(""Sir al-Gharbiyeh"" OR ""Seer al-Gharbiye"" OR ""Sir el-Gharbiyeh"") AND Lebanon","Confirmed via full-text fetch, base/generic query. alias match: ""sir el-gharbiyeh"""
LD-2026-03-08-علما الشعب (Alma al-Shaab),علما الشعب (Alma al-Shaab),2026-03-08,covered,https://es.zenit.org/2026/03/11/libano-pide-la-mediacion-diplomatica-del-vaticano-para-que-israel-no-ataque-ni-desplace-comunidades-catolicas-al-sur-del-pais/,"alias match: ""alma al-shaab""","(""Alma al-Shaab"" OR ""Alma ech-Chaab"" OR ""Alma al-Chaab"") AND Lebanon","Confirmed via full-text fetch, base/generic query. alias match: ""alma al-shaab"""
LD-2026-03-08-قانا (Qana),قانا (Qana),2026-03-08,unresolved,,,"(""Qana"" OR ""Cana"" OR ""Kana"") AND Lebanon",DOWNGRADED on duplicate-source audit: Confirming source (a Times of India article about Iran warning US tech firms) is unrelated to Lebanon strikes; automated keyword match was spurious.
LD-2026-03-08-يحمر الشقيف (Yohmor al-Shaqif),يحمر الشقيف (Yohmor al-Shaqif),2026-03-08,covered,https://www.nbcnews.com/world/middle-east/iran-war-israel-lebanon-hezbollah-displacement-crisis-middle-east-rcna262894,"alias match: ""yohmor""","(""Yohmor al-Shaqif"" OR ""Yuhmur al-Shaqif"" OR ""Yohmor"") AND Lebanon","Confirmed via full-text fetch, base/generic query. alias match: ""yohmor"""
LD-2026-03-08-تفاحتا (Tfahta),تفاحتا (Tfahta),2026-03-08,uncovered,,,"(""Tfahta"" OR ""Tafahta"") AND Lebanon",Zero results at D0-D3.
LD-2026-03-08-عيتيت (Aitit),عيتيت (Aitit),2026-03-08,covered,https://www.radiohc.cu/ataque-aereo-de-israel-al-libano-masacro-a-los-20-miembros-de-una-familia/,"alias match: ""aytit""","(""Aitit"" OR ""Aytit"" OR ""Ayteet"") AND Lebanon","Confirmed via full-text fetch, base/generic query. alias match: ""aytit"""
LD-2026-03-09-الضاحية الجنوبية (Beirut southern suburb/Dahiye),الضاحية الجنوبية (Beirut southern suburb/Dahiye),2026-03-09,covered,https://world.kbs.co.kr/service/news_view.htm?lang=v&Seq_Code=69706,"alias match: ""dahieh""","(""Dahiyeh"" OR ""Dahieh"" OR ""Dahiya"" OR ""Beirut southern suburb"") AND Lebanon","Confirmed via full-text fetch, base/generic query. alias match: ""dahieh"""
LD-2026-03-09-الطيري (Al-Tiri),الطيري (Al-Tiri),2026-03-09,uncovered,,,"base: (""Tiri"" OR ""Al-Tiri"" OR ""Et-Tiri"") AND Lebanon | fallback: (""Tiri"" OR ""Al-Tiri"" OR ""Et-Tiri"") AND Lebanon AND (""drone"" OR ""strike"")","RECLASSIFIED (QA rule): every result in both base and fallback queries was examined (all result sets were small, well under the 10-item inspection cap -- confirmed via true story_count) and all were Lebanese-domestic outlets, so none can count as international confirmation. Full set examined -> uncovered, not unresolved. Base query: no_nonlebanese_candidates. Fallback query: no_nonlebanese_candidates. Results existed but none confirmed among fetchable non-Lebanese candidates (or all fetches failed)."
LD-2026-03-09-Bint Jbeil-Aytaroun road,Bint Jbeil-Aytaroun road,2026-03-09,covered,https://news.un.org/en/story/2026/03/1167120,"alias match: ""bint jbeil""","(""Bint Jbeil"" OR ""Bint Jbail"" OR ""Aytaroun"" OR ""Aitaroun"") AND Lebanon","Confirmed via full-text fetch, base/generic query. alias match: ""bint jbeil"""
LD-2026-03-09-بيت ليف (Beit Lif),بيت ليف (Beit Lif),2026-03-09,uncovered,,,"(""Beit Lif"" OR ""Beit Leef"") AND Lebanon AND (""airstrike"")",Base query: no_nonlebanese_candidates. Fallback query: zero results.
LD-2026-03-09-تبنين (Tibnine),تبنين (Tibnine),2026-03-09,unresolved,,,"(""Tibnine"" OR ""Tebnine"" OR ""Tibnin"") AND Lebanon",DOWNGRADED on duplicate-source audit: See Mar 8 Tibnine row -- same duplicate-source issue.
LD-2026-03-09-جويا (Joya),جويا (Joya),2026-03-09,unresolved,,,"(""Joya"" OR ""Jouaiya"" OR ""Jwaya"") AND Lebanon","DOWNGRADED on duplicate-source audit: Confirming source (rediff.com, ""Iran says 37th wave of attacks launched against Israel"") is about the Iran-Israel front, not Lebanon; spurious automated match."
LD-2026-03-09-طير دبا (Tair Debba),طير دبا (Tair Debba),2026-03-09,covered,https://www.aa.com.tr/en/middle-east/16-killed-dozens-injured-in-israeli-strikes-in-southern-lebanon/3856510,"alias match: ""tayr debba""","(""Tair Debba"" OR ""Tayr Debba"" OR ""Teir Debba"") AND Lebanon","Confirmed via full-text fetch, base/generic query. alias match: ""tayr debba"""
LD-2026-03-09-كفرتبنيت (Kfartebnit),كفرتبنيت (Kfartebnit),2026-03-09,uncovered,,,"(""Kfartebnit"" OR ""Kfar Tebnit"" OR ""Kfartibnit"") AND Lebanon","Zero results at D0-D3. Secondary D+7 indicator: 1 results (not confirmed to an article, informational only)."
LD-2026-03-09-شوكين (Shawkin),شوكين (Shawkin),2026-03-09,uncovered,,,"(""Shawkin"" OR ""Chaoukine"") AND Lebanon",Zero results at D0-D3.
LD-2026-03-10-الأوزاعي (Ouzai),الأوزاعي (Ouzai),2026-03-10,uncovered,,,"(""Ouzai"" OR ""Ouzai"" OR ""Awzai"" OR ""Al-Ouzai"") AND Lebanon",Zero results at D0-D3.
LD-2026-03-10-جويا (Joya),جويا (Joya),2026-03-10,unresolved,,,"(""Joya"" OR ""Jouaiya"" OR ""Jwaya"") AND Lebanon",DOWNGRADED on duplicate-source audit: Same unrelated source as the Mar 9 Joya row; both downgraded.
LD-2026-03-10-حناويه (Hanawiyeh),حناويه (Hanawiyeh),2026-03-10,uncovered,,,"(""Hanawiyeh"" OR ""Hanawiye"") AND Lebanon",Zero results at D0-D3.
LD-2026-03-10-القليلة (Qlaile),القليلة (Qlaile),2026-03-10,uncovered,,,"base: (""Qlaile"" OR ""Klaile"" OR ""Qlayleh"") AND Lebanon | fallback: (""Qlaile"" OR ""Klaile"" OR ""Qlayleh"") AND Lebanon AND (""vehicle"" OR ""drone"" OR ""strike"")","RECLASSIFIED (QA rule): every result in both base and fallback queries was examined (all result sets were small, well under the 10-item inspection cap -- confirmed via true story_count) and all were Lebanese-domestic outlets, so none can count as international confirmation. Full set examined -> uncovered, not unresolved. Base query: no_nonlebanese_candidates. Fallback query: no_nonlebanese_candidates. Results existed but none confirmed among fetchable non-Lebanese candidates (or all fetches failed)."
LD-2026-03-10-قانا (Qana),قانا (Qana),2026-03-10,unresolved,,,"(""Qana"" OR ""Cana"" OR ""Kana"") AND Lebanon",DOWNGRADED on duplicate-source audit: Same unrelated source as the Mar 8 Qana row; both downgraded.
LD-2026-03-10-قلاويه (Qalawiyeh),قلاويه (Qalawiyeh),2026-03-10,uncovered,,,"(""Qalawiyeh"" OR ""Qalaouiye"" OR ""Kalawiye"") AND Lebanon","Zero results at D0-D3. Secondary D+7 indicator: 16 results (not confirmed to an article, informational only)."
LD-2026-03-10-كفرجوز (Kfarjouz),كفرجوز (Kfarjouz),2026-03-10,covered,https://www.bernama.com/en/news.php/?id=2532904,"alias match: ""kfarjouz""","(""Kfarjouz"" OR ""Kfar Jouz"" OR ""Kafr Jouz"") AND Lebanon","Confirmed via full-text fetch, base/generic query. alias match: ""kfarjouz"""
LD-2026-03-11-Habbouch-Arabsalim area,Habbouch-Arabsalim area,2026-03-11,unresolved,,,"(""Habbouch"" OR ""Habboush"" OR ""Arabsalim"" OR ""Arab Salim"") AND Lebanon","DOWNGRADED on 30-sample QA audit: AUDIT (multi-URL group check): confirming URL (The Guardian, ""Entire families wiped out..."") verified in full text -- does not mention Habbouch or Arabsalim anywhere. False positive."
LD-2026-03-11-الشرقية (Sharqiya),الشرقية (Sharqiya),2026-03-11,uncovered,,,"(""Sharqiya village"" OR ""Charkiyeh"") AND Lebanon AND (strike OR airstrike OR raid OR killed OR attack OR shelling)",Zero results at D0-D3.
LD-2026-03-11-النبطية (Nabatieh city),النبطية (Nabatieh city),2026-03-11,covered,https://www.theguardian.com/world/2026/mar/14/lebanon-israel-hezbollah-war-deaths,"alias match: ""nabatieh""","(""Nabatieh"" OR ""Nabatiyeh"") AND Lebanon AND (drone OR ""1 killed"")","Confirmed via full-text fetch, base/generic query. alias match: ""nabatieh"""
LD-2026-03-11-برعشيت (Bar'ashit),برعشيت (Bar'ashit),2026-03-11,uncovered,,,"(""Bar'ashit"" OR ""Baraachit"" OR ""Bir'ashit"") AND Lebanon",Zero results at D0-D3.
LD-2026-03-11-برج الشمالي (Burj al-Shamali),برج الشمالي (Burj al-Shamali),2026-03-11,uncovered,,,"(""Burj al-Shamali"" OR ""Bourj el-Chemali"" OR ""Burj Shemali"") AND Lebanon","Zero results at D0-D3. Secondary D+7 indicator: 18 results (not confirmed to an article, informational only)."
LD-2026-03-11-الشهابية (Al-Shihabiyeh),الشهابية (Al-Shihabiyeh),2026-03-11,covered,https://www.bernama.com/en/news.php/?id=2533218,"alias match: ""chehabiyeh"" (QA fix -- alias was missing from original query)","(""Shihabiyeh"" OR ""Chihabiyeh"" OR ""Al-Shihabiyeh"" OR ""Chehabiyeh"") AND Lebanon","QA CORRECTION (high-casualty uncovered review): original alias list did not include ""Chehabiyeh"", the spelling actually used by BERNAMA (citing Anadolu Ajansi): ""Six people were killed and seven others wounded in an Israeli strike on Chehabiyeh in Tyre"" -- matches this location-day (7 deaths) and is published same-day (Mar 11). Alias list corrected; re-run with fixed alias found this non-Lebanese confirmation within the D0-D3 window."
LD-2026-03-11-بنت جبيل (Bint Jbeil city),بنت جبيل (Bint Jbeil city),2026-03-11,unresolved,,,"(""Bint Jbeil"" OR ""Bint Jbail"" OR ""Bent Jbeil"") AND Lebanon","DOWNGRADED on 30-sample QA audit: AUDIT (multi-URL group check): confirming URL (aa.com.tr ""29 killed..."") mentions Bint Jbeil only as the administrative district containing Burj Qalaouiyah (a separately-recorded location-day) -- does not describe an attack on Bint Jbeil city itself."
LD-2026-03-11-تمنين التحتا (Tamnin al-Tahta),تمنين التحتا (Tamnin al-Tahta),2026-03-11,covered,https://www.hindustantimes.com/world-news/us-news/israel-strikes-central-beirut-as-lebanon-death-toll-tops-630-101773253948214.html,"alias match: ""tamnin al-tahta""","(""Tamnin al-Tahta"" OR ""Temnine el-Tahta"" OR ""Tamnine"") AND Lebanon","Confirmed via full-text fetch, base/generic query. alias match: ""tamnin al-tahta"""
LD-2026-03-11-بنت جبيل (Bint Jbeil),بنت جبيل (Bint Jbeil),2026-03-11,unresolved,,,"(""Bint Jbeil"" OR ""Bint Jbail"" OR ""Bent Jbeil"") AND Lebanon","DOWNGRADED on 30-sample QA audit: AUDIT (multi-URL group check): same aa.com.tr source and same issue as the ""Bint Jbeil city"" Mar 11 row -- district-reference only, not a confirmed attack on Bint Jbeil itself."
LD-2026-03-11-دير أنطار (Deir Antar),دير أنطار (Deir Antar),2026-03-11,unresolved,,,"(""Deir Antar"" OR ""Dayr Antar"") AND Lebanon","DOWNGRADED on duplicate-source audit: Confirming article's own title is about a strike on ""the Lebanese capital"" (Beirut), an apparent topic mismatch with this rural Nabatieh-district location-day; also duplicated across two different Deir Antar dates (Mar 11, Mar 12) with no distinguishing text. Downgraded pending verification."
LD-2026-03-11-تبنين (Tibnine),تبنين (Tibnine),2026-03-11,covered,https://www.bernama.com/en/news.php/?id=2533218,"alias match: ""tebnine""","(""Tibnine"" OR ""Tebnine"" OR ""Tibnin"") AND Lebanon","Confirmed via full-text fetch, base/generic query. alias match: ""tebnine"""
LD-2026-03-11-شقرا (Shaqra),شقرا (Shaqra),2026-03-11,covered,https://www.irishtimes.com/world/middle-east/2026/03/12/the-children-are-afraid-beiruts-southern-suburbs-reel-under-relentless-air-strikes/,"alias match: ""shakra""","(""Shaqra"" OR ""Chaqra"" OR ""Shakra"") AND Lebanon","Confirmed via full-text fetch, base/generic query. alias match: ""shakra"""
LD-2026-03-11-زلايا (Zalaya),زلايا (Zalaya),2026-03-11,covered,https://dailypost.ng/2026/03/11/israeli-airstrike-damages-residential-building-in-central-beirut/,"alias match: ""zalaya""","(""Zalaya"" OR ""Zellaya"") AND Lebanon","Confirmed via full-text fetch, base/generic query. alias match: ""zalaya"""
LD-2026-03-11-كفرتبنيت (Kfartebnit),كفرتبنيت (Kfartebnit),2026-03-11,uncovered,,,"base: (""Kfartebnit"" OR ""Kfar Tebnit"" OR ""Kfartibnit"") AND Lebanon | fallback: (""Kfartebnit"" OR ""Kfar Tebnit"" OR ""Kfartibnit"") AND Lebanon AND (""airstrike"" OR ""medic"" OR ""Islamic"" OR ""Health"" OR ""explicitly"" OR ""Authority"")","RECLASSIFIED (QA rule): every result in both base and fallback queries was examined (all result sets were small, well under the 10-item inspection cap -- confirmed via true story_count) and all were Lebanese-domestic outlets, so none can count as international confirmation. Full set examined -> uncovered, not unresolved. Base query: no_nonlebanese_candidates. Fallback query: no_nonlebanese_candidates. Results existed but none confirmed among fetchable non-Lebanese candidates (or all fetches failed)."
LD-2026-03-12-النبطية الفوقا (Nabatieh al-Fawqa),النبطية الفوقا (Nabatieh al-Fawqa),2026-03-12,unresolved,,,"(""Nabatieh al-Fawqa"" OR ""Nabatiyeh el-Fawqa"" OR ""Upper Nabatieh"") AND Lebanon",DOWNGRADED on duplicate-source audit: Same suspect group as above; downgraded pending verification.
LD-2026-03-11-معركة (Maaraka junction),معركة (Maaraka junction),2026-03-11,uncovered,,,"(""Maaraka"" OR ""Maarakeh"" OR ""Maarake"") AND Lebanon",Zero results at D0-D3.
LD-2026-03-12-بنت جبيل (Bint Jbeil),بنت جبيل (Bint Jbeil),2026-03-12,unresolved,,,"(""Bint Jbeil"" OR ""Bint Jbail"" OR ""Bent Jbeil"") AND Lebanon","DOWNGRADED on 30-sample QA audit: AUDIT (multi-URL group check): same aa.com.tr source and same issue -- district-reference only, not a confirmed attack on Bint Jbeil itself."
LD-2026-03-12-باريش (Barish),باريش (Barish),2026-03-12,uncovered,,,"(""Barish"" OR ""Barich"") AND Lebanon AND (""airstrike"")",Base query: not_confirmed. Fallback query: zero results.
LD-2026-03-12-عرمون (Aramoun),عرمون (Aramoun),2026-03-12,covered,https://www.dawn.com/news/1981537/strike-on-beirut-kills-12-after-israels-land-grab-threat,"alias match: ""aramoun""","(""Aramoun"" OR ""Aarammoune"") AND Lebanon","Confirmed via full-text fetch, base/generic query. alias match: ""aramoun"""
LD-2026-03-12-معركة البص (Maaraka al-Bass junction),معركة البص (Maaraka al-Bass junction),2026-03-12,uncovered,,,"(""Maaraka al-Bass"" OR ""El Buss"" OR ""Al-Bass camp"" OR ""Maaraka"") AND Lebanon","Zero results at D0-D3. Secondary D+7 indicator: 1 results (not confirmed to an article, informational only)."
LD-2026-03-12-دير أنطار (Deir Antar),دير أنطار (Deir Antar),2026-03-12,unresolved,,,"(""Deir Antar"" OR ""Dayr Antar"") AND Lebanon",DOWNGRADED on duplicate-source audit: See Mar 11 Deir Antar row -- same issues.
LD-2026-03-13-الصوانة (Al-Sawwaneh),الصوانة (Al-Sawwaneh),2026-03-13,covered,https://www.sbs.com.au/news/article/kharg-island-hit-in-one-of-the-most-powerful-bombing-raids-in-the-history-of-the-middle-east/tzdbke2co,"alias match: ""sawaneh""","(""Sawwaneh"" OR ""Sawaneh"" OR ""Al-Sawwaneh"") AND Lebanon","Confirmed via full-text fetch, base/generic query. alias match: ""sawaneh"""
LD-2026-03-13-الغازية (Ghazieh),الغازية (Ghazieh),2026-03-13,unresolved,,,"(""Ghazieh"" OR ""Ghaziyeh"" OR ""Al-Ghazieh"") AND Lebanon","DOWNGRADED on 30-sample QA audit: AUDIT (30-sample check): confirming URL (smh.com.au feature) does not mention Ghazieh anywhere in its full text (verified, article discusses Yohmor al-Shaqif and al-Najdah Hospital, not Ghazieh). False positive."
LD-2026-03-13-النبطية (Nabatieh city),النبطية (Nabatieh city),2026-03-13,covered,https://www.aa.com.tr/en/middle-east/7-killed-including-2-medics-in-israeli-airstrikes-in-southern-lebanon/3866695,"title casualty match: ""7 killed""","(""Nabatieh"" OR ""Nabatiyeh"") AND Lebanon AND (""Al-Rahibat"" OR ""7 killed"")","Confirmed via full-text fetch, base/generic query. title casualty match: ""7 killed"""
LD-2026-03-13-الفوار (Al-Fawwar),الفوار (Al-Fawwar),2026-03-13,covered,https://www.aljazeera.com/news/2026/3/13/israel-destroys-bridge-in-lebanon-and-threatens-gaza-scale-devastation?traffic_source=rss,"alias match: ""fawwar""","(""Fawwar"" OR ""Al-Fawwar"" OR ""Fawar"") AND Lebanon","Confirmed via full-text fetch, base/generic query. alias match: ""fawwar"""
LD-2026-03-13-بنت جبيل (Bint Jbeil city),بنت جبيل (Bint Jbeil city),2026-03-13,covered,https://www.straitstimes.com/world/middle-east/israel-expands-its-ground-campaign-in-southern-lebanon,"alias match: ""bint jbeil""","(""Bint Jbeil"" OR ""Bint Jbail"" OR ""Bent Jbeil"") AND Lebanon","Confirmed via full-text fetch, base/generic query. alias match: ""bint jbeil"""
