location,aliases,alias_count,is_ambiguous_common_word,verification_method,notes
الحازمية (Hazmieh),Hazmieh;Hazmiyeh;Hazmiye,3,0,verified,well-known Beirut-suburb name
الحدث (Hadath),Hadath;Hadeth;Al-Hadath,3,0,verified,well-known Beirut-suburb name
الحنية (Al-Haniyeh),Haniyeh;Haniye;El-Haniyeh,3,0,convention,note: distinct from the personal name 'Haniyeh' - Lebanon+attack terms mitigate false hits
الحوش (Al-Hosh),Hosh;El-Hosh;Al-Hosh,3,0,convention,
الدوير (Al-Dawir),Dawir;Douair;Ed-Doueir;Al-Dawir,4,0,convention,
"الرحاب (Al-Rihab, Beirut southern suburb)",Rihab;Rehab;Al-Rihab,3,0,convention,
الرملة البيضاء (Ramlet al-Baida),Ramlet al-Baida;Ramlet el-Baida;Raml el-Baida;Ramlet Al-Bayda,4,0,verified,well-known Beirut beach/neighborhood name
الروشة (Raouche),Raouche;Rawshe;Rawcheh;Al-Rawsheh,4,0,verified,well-known Beirut landmark name
السعيدة (Saaideh),Saaideh;Saaida;Al-Saaideh,3,0,convention,"Baalbek-area village, distinct from Sidon/Saida - kept out of Saaideh aliases to avoid collision"
السكسكية (Al-Suksukiyeh),Suksukiyeh;Siksikiyeh;Al-Suksukiyeh,3,0,convention,
السلطانية (Al-Sultaniyeh),Sultaniyeh;Soultaniyeh;Al-Sultaniyeh,3,0,convention,
الشبريحة (Shabriha junction),Shabriha;Chabriha,2,0,convention,
الشرحبيل (Sharhabil),Sharhabil;Charhabil,2,0,convention,
الشرقية (Sharqiya),Sharqiya village;Charkiyeh,2,1,convention,generic word ('the eastern one'); ambiguous even within Lebanon (cf. Zawtar al-Sharqiya) - add district qualifier in query
الشعيتية (Al-Shaitiyeh),Shaitiyeh;Chaytiyeh;Al-Shaitiyeh,3,0,convention,
الشهابية (Al-Shihabiyeh),Shihabiyeh;Chihabiyeh;Al-Shihabiyeh;Chehabiyeh,4,0,convention," | QA fix: added Chehabiyeh spelling used by BERNAMA/Anadolu, missing from original alias set"
الشياح (Chiyah),Chiyah;Shiyah;Al-Shiyah;Mar Mikhael;Mar Mikhail,5,0,verified,well-known Beirut-suburb names; original report also named the adjacent Mar Mikhael area
الصرفند (Al-Sarafand),Sarafand;Sarafend;Al-Sarafand,3,0,convention,
الصوانة (Al-Sawwaneh),Sawwaneh;Sawaneh;Al-Sawwaneh,3,0,convention,
الضاحية الجنوبية (Beirut southern suburb/Dahiye),Dahiyeh;Dahieh;Dahiya;Beirut southern suburb,4,0,verified,widely used English-media term
الطيري (Al-Tiri),Tiri;Al-Tiri;Et-Tiri,3,0,convention,
العيشية (Al-Eishiyeh),Eishiyeh;Aychiyeh;Al-Eishiyeh,3,0,convention,
الغازية (Ghazieh),Ghazieh;Ghaziyeh;Al-Ghazieh,3,0,convention,
الغندورية (Al-Ghandouriyeh),Ghandouriyeh;Ghandourieh;Al-Ghandouriyeh,3,0,convention,
الفوار (Al-Fawwar),Fawwar;Al-Fawwar;Fawar,3,0,convention,
القاسمية (Qasimiyeh),Qasimiyeh;Kasmieh;Al-Qasimiyeh,3,0,convention,
القطراني (Qatrani),Qatrani;Katrani;Al-Qatrani,3,0,convention,
القليعة (Qlaya),Qlaya;Klaiaa;Kleiaa,3,0,convention,"Marjayoun-area village, distinct from Qlaile - kept separate to avoid collision"
القليلة (Qlaile),Qlaile;Klaile;Qlayleh,3,0,convention,"Tyre-area village, distinct from Qlaya - kept separate to avoid collision"
القنطرة (Qantara),Qantara;Kantara;Al-Qantara,3,0,convention,
الكفور (Kfour),Kfour;Kfor;Al-Kfour,3,0,convention,
المروانية (Marwaniyeh),Marwaniyeh;Marouaniye;Al-Marwaniyeh,3,0,convention,
النبطية (Nabatieh city),Nabatieh;Nabatiyeh;Nabatiye;An-Nabatiyeh,4,0,verified,"provincial capital, well-established English spelling"
النبطية الفوقا (Nabatieh al-Fawqa),Nabatieh al-Fawqa;Nabatiyeh el-Fawqa;Upper Nabatieh,3,0,convention,
النبعة (Nabaa),Nabaa;Naba;El-Nabaa;Bourj Hammoud,4,0,verified,well-known Beirut/Metn suburb names
النبي شيت (Nabi Chit),Nabi Chit;Nabi Sheet;Nabi Shit;Khirbeh;Kherbet;Sarain;Ali al-Nahri,7,0,verified,commando-raid incident; place-name normalizer collapses the original 'raid also affected...' qualifier down to this key
النبي شيت (Nabi Chit/Nabi Sheet),Nabi Chit;Nabi Sheet;Nabi Shit,3,0,verified,matches the study's own worked example spelling set
النجارية (Najariyeh),Najariyeh;Nejariyeh;Al-Najariyeh,3,0,convention,
النميرية (Al-Nmeiriyeh),Nmeiriyeh;Numeiriyeh;Al-Nmeiriyeh;Al-Nimiriya;Nimiriya,5,0,convention," | QA fix: added Al-Nimiriya/Nimiriya spelling used by The Guardian, missing from original alias set"
بئر حسن (Bir Hassan),Bir Hassan;Beer Hassan,2,0,verified,well-known Beirut-suburb name
باتوليه (Batouliyeh),Batouliyeh;Batoulieh,2,0,convention,
باريش (Barish),Barish;Barich,2,0,convention,
بافيله (Bafiliyeh),Bafiliyeh;Bafilieh,2,0,convention,
بر الياس (Bar Elias),Bar Elias;Baar Elias,2,0,verified,well-known Bekaa town name
برج الشمالي (Burj al-Shamali),Burj al-Shamali;Bourj el-Chemali;Burj Shemali,3,0,verified,well-known Tyre-area refugee camp/town name
برج قلاويه (Burj Qalawiyeh),Burj Qalawiyeh;Bourj Qalaouiye;Burj Kalaouiyeh,3,0,convention,
برعشيت (Bar'ashit),Bar'ashit;Baraachit;Bir'ashit,3,0,convention,
بريتال (Britel),Britel;Britell;Brital,3,0,convention,
بشامون (Bshamoun),Bshamoun;Bchamoun,2,0,verified,well-known Aley-area town name
بعلبك (Baalbek city),Baalbek;Baalbeck;Ba'albek,3,0,verified,"UNESCO-site city, canonical spelling well established"
بنت جبيل (Bint Jbeil city),Bint Jbeil;Bint Jbail;Bent Jbeil,3,0,verified,well-known South Lebanon city name
بنت جبيل (Bint Jbeil),Bint Jbeil;Bint Jbail;Bent Jbeil,3,0,verified,well-known South Lebanon city name
بيت ليف (Beit Lif),Beit Lif;Beit Leef,2,0,convention,
بيروت (Beirut),Beirut;Beyrouth;Bayrut,3,0,verified,"capital city, canonical spelling"
تبنين (Tibnine),Tibnine;Tebnine;Tibnin,3,0,verified,well-known South Lebanon town name
تحويطة الغدير (Tahwitat al-Ghadir),Tahwitat al-Ghadir;Tahouitat al-Ghadir;Tahwitet el-Ghadir,3,0,convention,
تفاحتا (Tfahta),Tfahta;Tafahta,2,0,convention,
تمنين التحتا (Tamnin al-Tahta),Tamnin al-Tahta;Temnine el-Tahta;Tamnine,3,0,convention,
تول (Toul),Toul;Tul,2,0,convention,short/generic-looking token but not an English word; low false-hit risk
جبال البطم (Jabal al-Botm),Jabal al-Botm;Jabal el-Botom,2,0,convention,
جبشيت (Jbeshit),Jbeshit;Jbaachit;Jbchit,3,0,convention,
جويا (Joya),Joya;Jouaiya;Jwaya,3,0,convention,
حارة صيدا (Harit Saida),Harit Saida;Haret Saida;Hara Saida,3,0,convention,Sidon suburb - always paired with 'Saida'/'Sidon' term so Lebanon+context filters residual ambiguity
حاروف (Haroof),Haroof;Haruf;Harouf,3,0,convention,
حبوش (Habbouch),Habbouch;Habboush,2,0,convention,
حداثا (Hidatha),Hidatha;Hidata,2,0,convention,
حلتا (Halta),Halta;Hilta,2,0,convention,
حناويه (Hanawiyeh),Hanawiyeh;Hanawiye,2,0,convention,
خربة سلم (Khirbet Selm),Khirbet Selm;Khirbet Silm;Kherbet Selm,3,0,convention,
خلدة (Khaldeh),Khaldeh;Khalde,2,0,verified,well-known coastal-highway town name
دير أنطار (Deir Antar),Deir Antar;Dayr Antar,2,0,convention,
دير الزهراني (Deir al-Zahrani),Deir al-Zahrani;Deir ez-Zahrani,2,0,convention,
دير كيفا (Deir Kifa),Deir Kifa;Dayr Kifa,2,0,convention,
زبدين (Zebdine),Zebdine;Zebdin;Zibdine,3,0,convention,
زلايا (Zalaya),Zalaya;Zellaya,2,0,convention,
زوطر / كفرتبنيت,Zawtar al-Sharqiya;Zoutar el-Charkiyeh;Zawtar al-Gharbiya;Kfartebnit;Kfar Tebnit,5,1,composite,"explicitly ambiguous combined area from an unresolved source report - union of both villages' aliases, flagged for careful manual review of results"
زوطر الشرقية (Zawtar al-Sharqiya),Zawtar al-Sharqiya;Zoutar el-Charkiyeh;Zawtar East;Zoutar Charkiye,4,0,convention,
سحمر (Sohmor),Sohmor;Sahmor;Sohmar,3,0,convention,
سلعا (Sal'a),Sal'a;Salaa;Sala'a,3,0,convention,
شبعا (Shebaa),Shebaa;Chebaa;Shabaa,3,0,verified,well-known South Lebanon town name (Shebaa Farms)
شعت (Chaat),Chaat;Shaat;Chaath,3,0,convention,
شقرا (Shaqra),Shaqra;Chaqra;Shakra,3,0,convention,
شمسطار (Shamsatar),Shamsatar;Chamsatar;Shamstar,3,0,convention,
شوكين (Shawkin),Shawkin;Chaoukine,2,0,convention,
صديقين (Saddiqine/Siddiqine),Saddiqine;Siddikine;Sedikine,3,0,convention,"district uncertain per incidents.csv, spelling kept broad"
صريفا (Srifa),Srifa;Sreifa;Sarifa,3,0,verified,matches the study's own worked example spelling set exactly
صور (Tyre),Sour;Tyre;Al-Athar,3,1,verified,'Tyre' collides heavily with the English word for a wheel's tyre/tire - 'Sour' (the Arabic-derived spelling used in most Lebanese English-language press) is the primary alias; add attack-context terms when using 'Tyre'
صيدا (Sidon Corniche),Sidon;Saida,2,0,verified,well-known South Lebanon city name
صيدا (Sidon),Sidon;Saida,2,0,verified,well-known South Lebanon city name
صير الغربية (Sir al-Gharbiyeh),Sir al-Gharbiyeh;Seer al-Gharbiye;Sir el-Gharbiyeh,3,0,convention,
طريق الشعيتية (Al-Shaitiyeh road),Shaitiyeh;Chaytiyeh,2,0,convention,"road qualifier dropped, same as standalone Al-Shaitiyeh"
طريق المطار (Airport Road),Airport Road;Beirut Airport Road;Beirut international airport road,3,1,convention,"generic descriptive term, not a proper noun - requires attack-context terms to avoid unrelated 'airport road' hits worldwide"
طريق النبطية الفوقا (Nabatieh al-Fawqa road),Nabatieh al-Fawqa;Nabatiyeh el-Fawqa,2,0,convention,"road qualifier dropped, same as standalone Nabatieh al-Fawqa"
طريق جزين (Jezzine road),Jezzine;Jazzine;Jezzin,3,0,verified,well-known South Lebanon town name
طير دبا (Tair Debba),Tair Debba;Tayr Debba;Teir Debba,3,0,convention,
عبا (Aaba),Aaba;Ebba;Aabba,3,0,convention,
عدلون (Adloun),Adloun;Adlun;Adloune,3,0,convention,
عرمون (Aramoun),Aramoun;Aarammoune,2,0,verified,well-known Aley-area town name
عرمون / السعديات,Aramoun;Aarammoune;Saadiyat;Saadiyate,4,0,composite,union of Aramoun + Saadiyat aliases
علما الشعب (Alma al-Shaab),Alma al-Shaab;Alma ech-Chaab;Alma al-Chaab,3,0,convention,
عيتيت (Aitit),Aitit;Aytit;Ayteet,3,0,convention,
عين ابل (Ain Ebel),Ain Ebel;Ain Ebl;Ain Aabel,3,0,convention,
عين الحلوة (Ain al-Hilweh camp),Ain al-Hilweh;Ein el-Hilweh;Ain al-Helweh,3,0,verified,well-known Sidon refugee-camp name
قانا (Qana),Qana;Cana;Kana,3,0,verified,internationally known place name from 1996/2006 strikes; 'Qana' is the standard English-press spelling
قبريحا (Qabrikha),Qabrikha;Kabrikha,2,0,convention,
قعقعية الجسر (Qaaqaait al-Jisr),Qaaqaait al-Jisr;Kaakaait el-Jisr;Qaaqaaiyet al-Jisr,3,0,convention,
قلاويه (Qalawiyeh),Qalawiyeh;Qalaouiye;Kalawiye,3,0,convention,
قناريت (Qanaryet),Qanaryet;Kanariyet,2,0,convention,
كفرا (Kfarra),Kfarra;Kfar Raa,2,0,convention,
كفرتبنيت (Kfartebnit),Kfartebnit;Kfar Tebnit;Kfartibnit,3,0,convention,
كفرجوز (Kfarjouz),Kfarjouz;Kfar Jouz;Kafr Jouz,3,0,convention,
كفررمان (Kfarremen),Kfarremen;Kfar Remen;Kfar Rumman;Kfar Roummane,4,0,verified,matches the study's own worked example spelling set exactly
كفرصير (Kfarsir),Kfarsir;Kfar Sir,2,0,convention,
كوثرية الرز (Kawthariyet al-Rez),Kawthariyet al-Rez;Kaouthariyet el-Rez;Kawtharieh,3,0,convention,
كونين (Kounine),Kounine;Kawnin;Kaounine,3,0,convention,
لبايا (Libaya),Libaya;Lebaya,2,0,convention,
مجدل سلم (Majdal Selem),Majdal Selem;Majdal Silm;Majdel Selm,3,0,convention,
محرونة (Mahrouneh),Mahrouneh;Mahrouna,2,0,convention,
مخيم البداوي (Beddawi camp),Beddawi;Baddawi,2,0,verified,well-known Tripoli-area refugee-camp name
مخيم المية ومية (Mieh Mieh camp),Mieh Mieh;Miyeh Miyeh;Miye Miye,3,0,verified,well-known Sidon-area refugee-camp name
مشغرة (Mashghara),Mashghara;Machghara,2,0,convention,
معركة (Maaraka junction),Maaraka;Maarakeh;Maarake,3,0,convention,
معركة (Maaraka),Maaraka;Maarakeh;Maarake,3,0,convention,
معركة البص (Maaraka al-Bass junction),Maaraka al-Bass;El Buss;Al-Bass camp;Maaraka,4,0,convention,near Tyre's well-known El-Buss/Al-Bass refugee camp
ميفدون (Meifadoun),Meifadoun;Meifdoun;Meifadoune,3,0,convention,
ياطر (Yatar),Yatar;Yater,2,0,convention,
يحمر الشقيف (Yohmor al-Shaqif),Yohmor al-Shaqif;Yuhmur al-Shaqif;Yohmor,3,0,convention,
