location_day_id,location,event_date,status,confirming_url,query_used,reason
LD-2026-03-07-النبي شيت (Nabi Chit),النبي شيت (Nabi Chit),2026-03-07,covered,https://www.pbs.org/newshour/world/lebanese-parliament-extends-term-by-2-years-as-israel-intensifies-attacks-on-lebanon,"(""Nabi Chit"" OR ""Nabi Sheet"" OR ""Nabi Shit"" OR ""Khirbeh"" OR ""Kherbet"" OR ""Sarain"" OR ""Ali al-Nahri"") AND Lebanon","AUDIT CORRECTION: previously cited the same jpost.com article as the Mar 6 row (the double-use flagged for audit); that article's dating does not match Mar 7. Replaced with PBS/AP (published Mar 9), which states Hezbollah repelled a helicopter landing attempt ""in the same area where a commando force landed two days earlier to search for the remains of Ron Arad"" -- ""two days earlier"" than a Monday Mar 9 publish date is Saturday Mar 7, matching this location-day's ground-commando-raid event exactly. Note: this source does not independently corroborate the 26-death toll, only the date/location/event type."
LD-2026-03-07-النبي شيت (Nabi Chit/Nabi Sheet),النبي شيت (Nabi Chit/Nabi Sheet),2026-03-07,covered,https://www.npr.org/2026/03/10/g-s1-113081/photos-iran-us-israel-war-middle-east-week-2,"(""Nabi Chit"" OR ""Nabi Sheet"" OR ""Nabi Shit"") AND Lebanon","[alias match: ""nabi chit""] Confirmed via full-text fetch, base/generic query. alias match: ""nabi chit"""
LD-2026-03-07-جبال البطم (Jabal al-Botm),جبال البطم (Jabal al-Botm),2026-03-07,uncovered,,"(""Jabal al-Botm"" OR ""Jabal el-Botom"") AND Lebanon",Zero results at D0-D3.
LD-2026-03-07-جبشيت (Jbeshit),جبشيت (Jbeshit),2026-03-07,uncovered,,"(""Jbeshit"" OR ""Jbaachit"" OR ""Jbchit"") AND Lebanon",Zero results at D0-D3.
LD-2026-03-07-خربة سلم (Khirbet Selm),خربة سلم (Khirbet Selm),2026-03-07,covered,https://www.dawn.com/news/1979651/israeli-strikes-on-south-lebanon-kill-eight-ministry,"(""Khirbet Selm"" OR ""Khirbet Silm"" OR ""Kherbet Selm"") AND Lebanon","[alias match: ""kherbet selm""] Confirmed via full-text fetch, base/generic query. alias match: ""kherbet selm"""
LD-2026-03-07-زبدين (Zebdine),زبدين (Zebdine),2026-03-07,uncovered,,"(""Zebdine"" OR ""Zebdin"" OR ""Zibdine"") AND Lebanon","AUDIT CORRECTION -- death coding resolved: location_day.csv previously showed deaths_total=0 for this row, which was a data bug (the aggregation script silently treated NNA's unquantified casualty report -- ""a number of martyrs,"" no figure given -- as a numeric zero rather than unknown). Fixed at the source in 09_location_day_aggregate.py; this location-day's deaths_total now reads ""unknown (unspecified, >=1 per NNA)."" The search result itself is unchanged: 0 results at D0-D3, 0 at D+7. This is a small, single-report incident with a real but unquantified death toll and no located coverage, domestic or international."
LD-2026-03-07-زوطر الشرقية (Zawtar al-Sharqiya),زوطر الشرقية (Zawtar al-Sharqiya),2026-03-07,unresolved,,"(""Zawtar al-Sharqiya"" OR ""Zoutar el-Charkiyeh"" OR ""Zawtar East"" OR ""Zoutar Charkiye"") AND Lebanon",DOWNGRADED on duplicate-source audit: Same evacuation-warning-article issue as above; does not confirm an attack occurred.
LD-2026-03-07-شمسطار (Shamsatar),شمسطار (Shamsatar),2026-03-07,uncovered,,"(""Shamsatar"" OR ""Chamsatar"" OR ""Shamstar"") AND Lebanon",Zero results at D0-D3.
LD-2026-03-07-صريفا (Srifa),صريفا (Srifa),2026-03-07,covered,https://www.bernama.com/en/news.php/?id=2532785,"(""Srifa"" OR ""Sreifa"" OR ""Sarifa"") AND Lebanon","[alias match: ""sarifa""] Confirmed via full-text fetch, base/generic query. alias match: ""sarifa"""
LD-2026-03-07-كفرتبنيت (Kfartebnit),كفرتبنيت (Kfartebnit),2026-03-07,uncovered,,"(""Kfartebnit"" OR ""Kfar Tebnit"" OR ""Kfartibnit"") AND Lebanon","Zero results at D0-D3. Secondary D+7 indicator: 1 results (not confirmed to an article, informational only)."
LD-2026-03-07-كفررمان (Kfarremen),كفررمان (Kfarremen),2026-03-07,covered,https://www.dawn.com/news/1979651/israeli-strikes-on-south-lebanon-kill-eight-ministry,"(""Kfarremen"" OR ""Kfar Remen"" OR ""Kfar Rumman"" OR ""Kfar Roummane"") AND Lebanon","[alias match: ""kfar rumman""] Confirmed via full-text fetch, base/generic query. alias match: ""kfar rumman"""
LD-2026-03-07-كوثرية الرز (Kawthariyet al-Rez),كوثرية الرز (Kawthariyet al-Rez),2026-03-07,uncovered,,"(""Kawthariyet al-Rez"" OR ""Kaouthariyet el-Rez"" OR ""Kawtharieh"") AND Lebanon",Zero results at D0-D3.
LD-2026-03-07-ميفدون (Meifadoun),ميفدون (Meifadoun),2026-03-07,uncovered,,"(""Meifadoun"" OR ""Meifdoun"" OR ""Meifadoune"") AND Lebanon",Zero results at D0-D3.
LD-2026-03-08-الدوير (Al-Dawir),الدوير (Al-Dawir),2026-03-08,covered,https://www.bernama.com/en/news.php/?id=2532021,"(""Dawir"" OR ""Douair"" OR ""Ed-Doueir"" OR ""Al-Dawir"") AND Lebanon","[title casualty match: ""6 killed""] Confirmed via full-text fetch, base/generic query. title casualty match: ""6 killed"""
LD-2026-03-08-الروشة (Raouche),الروشة (Raouche),2026-03-08,covered,https://dawatmedia24.com/world/iran-says-four-diplomats-killed-in-israeli-strike-in-beirut-vows-accountability/,"(""Raouche"" OR ""Rawshe"" OR ""Rawcheh"" OR ""Al-Rawsheh"") AND Lebanon","[alias match: ""raouche""] Confirmed via full-text fetch, base/generic query. alias match: ""raouche"""
LD-2026-03-08-الشعيتية (Al-Shaitiyeh),الشعيتية (Al-Shaitiyeh),2026-03-08,uncovered,,"(""Shaitiyeh"" OR ""Chaytiyeh"" OR ""Al-Shaitiyeh"") AND Lebanon",Zero results at D0-D3.
LD-2026-03-08-الغازية (Ghazieh),الغازية (Ghazieh),2026-03-08,uncovered,,"(""Ghazieh"" OR ""Ghaziyeh"" OR ""Al-Ghazieh"") AND Lebanon","Zero results at D0-D3. Secondary D+7 indicator: 2 results (not confirmed to an article, informational only)."
LD-2026-03-08-بريتال (Britel),بريتال (Britel),2026-03-08,covered,https://www.bernama.com/en/news.php/?id=2532021,"(""Britel"" OR ""Britell"" OR ""Brital"") AND Lebanon","[alias match: ""brital""] Confirmed via full-text fetch, base/generic query. alias match: ""brital"""
LD-2026-03-08-تبنين (Tibnine),تبنين (Tibnine),2026-03-08,unresolved,,"(""Tibnine"" OR ""Tebnine"" OR ""Tibnin"") AND Lebanon","DOWNGRADED on duplicate-source audit: Same confirming URL (Dawn, generic ""8 killed"" headline) was auto-matched to two different Tibnine dates (Mar 8 and Mar 9) with no date-specific text distinguishing them; downgraded both pending manual date verification."
LD-2026-03-08-تفاحتا (Tfahta),تفاحتا (Tfahta),2026-03-08,uncovered,,"(""Tfahta"" OR ""Tafahta"") AND Lebanon",Zero results at D0-D3.
LD-2026-03-08-صور (Tyre),صور (Tyre),2026-03-08,covered,https://www.bernama.com/en/news.php/?id=2532021,"(""Al Athar"" OR ""al-Aathar"" OR ""Athar area"" OR ""Hay al-Athar"") AND Lebanon","AUDIT CORRECTION -- alternative-query search completed: the first alias variant (""Al-Athar""/""Athar neighborhood"") returned 0 results, but a second alternative-transliteration query found it. BERNAMA (Malaysian national news agency, republishing Anadolu Ajansi copy) states explicitly: ""Another strike hit the Al-Athar neighbourhood in the city of Tire, leaving eight people dead"" -- exact match to the incident record (8 deaths). Non-Lebanese source."
LD-2026-03-08-صير الغربية (Sir al-Gharbiyeh),صير الغربية (Sir al-Gharbiyeh),2026-03-08,covered,https://www.antiwar.com/blog/2026/03/10/10-classrooms-full-of-children-us-israeli-war-kills-hundreds-of-iranian-lebanese-kids/,"(""Sir al-Gharbiyeh"" OR ""Seer al-Gharbiye"" OR ""Sir el-Gharbiyeh"") AND Lebanon","[alias match: ""sir el-gharbiyeh""] Confirmed via full-text fetch, base/generic query. alias match: ""sir el-gharbiyeh"""
LD-2026-03-08-علما الشعب (Alma al-Shaab),علما الشعب (Alma al-Shaab),2026-03-08,covered,https://es.zenit.org/2026/03/11/libano-pide-la-mediacion-diplomatica-del-vaticano-para-que-israel-no-ataque-ni-desplace-comunidades-catolicas-al-sur-del-pais/,"(""Alma al-Shaab"" OR ""Alma ech-Chaab"" OR ""Alma al-Chaab"") AND Lebanon","[alias match: ""alma al-shaab""] Confirmed via full-text fetch, base/generic query. alias match: ""alma al-shaab"""
LD-2026-03-08-عيتيت (Aitit),عيتيت (Aitit),2026-03-08,covered,https://www.radiohc.cu/ataque-aereo-de-israel-al-libano-masacro-a-los-20-miembros-de-una-familia/,"(""Aitit"" OR ""Aytit"" OR ""Ayteet"") AND Lebanon","[alias match: ""aytit""] Confirmed via full-text fetch, base/generic query. alias match: ""aytit"""
LD-2026-03-08-عين الحلوة (Ain al-Hilweh camp),عين الحلوة (Ain al-Hilweh camp),2026-03-08,covered,https://www.bernama.com/en/news.php/?id=2532021,"(""Ain al-Hilweh"" OR ""Ein el-Hilweh"" OR ""Ain al-Helweh"") AND Lebanon","AUDIT CORRECTION: naharnet.com is a Lebanese domestic outlet, excluded from international confirmations. Own base query still has a valid non-Lebanese candidate (aa.com.tr, result 7 of 8: ""Israeli warplanes strike Palestinian refugee camp in southern Lebanon,"" dated Mar 8, though it does not name Ain al-Hilweh explicitly). Stronger confirmation is the same BERNAMA/Anadolu article used for Tyre above (both towns were struck the same day and covered in one roundup): ""a third strike targeted the Ain al-Hilweh Palestinian refugee camp in the southern city of Sidon, killing one Palestinian and injuring 10 others, including three Lebanese nationals"" -- exact match to the incident record (1 death, 10 injured: 3 Lebanese + 7 Palestinian)."
LD-2026-03-08-قانا (Qana),قانا (Qana),2026-03-08,unresolved,,"(""Qana"" OR ""Cana"" OR ""Kana"") AND Lebanon",DOWNGRADED on duplicate-source audit: Confirming source (a Times of India article about Iran warning US tech firms) is unrelated to Lebanon strikes; automated keyword match was spurious.
LD-2026-03-08-يحمر الشقيف (Yohmor al-Shaqif),يحمر الشقيف (Yohmor al-Shaqif),2026-03-08,covered,https://www.nbcnews.com/world/middle-east/iran-war-israel-lebanon-hezbollah-displacement-crisis-middle-east-rcna262894,"(""Yohmor al-Shaqif"" OR ""Yuhmur al-Shaqif"" OR ""Yohmor"") AND Lebanon","[alias match: ""yohmor""] Confirmed via full-text fetch, base/generic query. alias match: ""yohmor"""
LD-2026-03-09-Beit Yahoun-Tibnine road,Beit Yahoun-Tibnine road,2026-03-09,covered,https://www.rte.ie/news/primetime/2026/0312/1563087-irish-un-troops-clashes-israel-lebanon/,"(""Beit Yahoun"" OR ""Beit Yahoune"" OR ""Tibnine"" OR ""Tebnine"") AND Lebanon","[alias match: ""beit yahoun""] Confirmed via full-text fetch, base/generic query. alias match: ""beit yahoun"""
LD-2026-03-09-Bint Jbeil-Aytaroun road,Bint Jbeil-Aytaroun road,2026-03-09,unresolved,,"(""Bint Jbeil"" OR ""Bint Jbail"" OR ""Aytaroun"" OR ""Aitaroun"") AND Lebanon","DOWNGRADED: FINAL VERIFICATION PASS: confirming article (news.un.org) mentions Bint Jbeil only as the origin of a displaced woman sheltering elsewhere -- describes displacement, not an attack. Does not confirm an attack occurred."
LD-2026-03-09-الضاحية الجنوبية (Beirut southern suburb/Dahiye),الضاحية الجنوبية (Beirut southern suburb/Dahiye),2026-03-09,covered,https://world.kbs.co.kr/service/news_view.htm?lang=v&Seq_Code=69706,"(""Dahiyeh"" OR ""Dahieh"" OR ""Dahiya"" OR ""Beirut southern suburb"") AND Lebanon","[alias match: ""dahieh""] Confirmed via full-text fetch, base/generic query. alias match: ""dahieh"""
LD-2026-03-09-الطيري (Al-Tiri),الطيري (Al-Tiri),2026-03-09,uncovered,,"base: (""Tiri"" OR ""Al-Tiri"" OR ""Et-Tiri"") AND Lebanon | fallback: (""Tiri"" OR ""Al-Tiri"" OR ""Et-Tiri"") AND Lebanon AND (""drone"" OR ""strike"")","RECLASSIFIED (QA rule): every result in both base and fallback queries was examined (all result sets were small, well under the 10-item inspection cap -- confirmed via true story_count) and all were Lebanese-domestic outlets, so none can count as international confirmation. Full set examined -> uncovered, not unresolved. Base query: no_nonlebanese_candidates. Fallback query: no_nonlebanese_candidates. Results existed but none confirmed among fetchable non-Lebanese candidates (or all fetches failed)."
LD-2026-03-09-القليعة (Qlaya),القليعة (Qlaya),2026-03-09,uncovered,,"(""Qlaya"" OR ""Klaiaa"" OR ""Kleiaa"") AND Lebanon",Zero results at D0-D3.
LD-2026-03-09-النميرية (Al-Nmeiriyeh),النميرية (Al-Nmeiriyeh),2026-03-09,uncovered,,"(""Nmeiriyeh"" OR ""Numeiriyeh"" OR ""Al-Nmeiriyeh"") AND Lebanon","Zero results at D0-D3. | QA UPDATE (high-casualty uncovered review): original alias list was missing ""Al-Nimiriya""/""Nimiriya"", the spelling used by The Guardian in a feature (""Entire families wiped out..."", published Mar 14) describing the Hamdan family strike here in detail. Alias list corrected. Even with the fix, D0-D3 remains genuinely zero -- the Guardian piece falls at D+5, outside the primary window. Confirmed via corrected-alias D+7 check: 1 result (the Guardian article). Recorded here as a secondary/delayed-coverage indicator; status remains uncovered per the D0-D3 primary methodology."
LD-2026-03-09-بيت ليف (Beit Lif),بيت ليف (Beit Lif),2026-03-09,uncovered,,"(""Beit Lif"" OR ""Beit Leef"") AND Lebanon AND (""airstrike"")",Base query: no_nonlebanese_candidates. Fallback query: zero results.
LD-2026-03-09-تبنين (Tibnine),تبنين (Tibnine),2026-03-09,unresolved,,"(""Tibnine"" OR ""Tebnine"" OR ""Tibnin"") AND Lebanon",DOWNGRADED on duplicate-source audit: See Mar 8 Tibnine row -- same duplicate-source issue.
LD-2026-03-09-جويا (Joya),جويا (Joya),2026-03-09,unresolved,,"(""Joya"" OR ""Jouaiya"" OR ""Jwaya"") AND Lebanon","DOWNGRADED on duplicate-source audit: Confirming source (rediff.com, ""Iran says 37th wave of attacks launched against Israel"") is about the Iran-Israel front, not Lebanon; spurious automated match."
LD-2026-03-09-شبعا (Shebaa),شبعا (Shebaa),2026-03-09,covered,https://www.aa.com.tr/en/middle-east/israel-moves-golani-brigade-from-gaza-to-lebanon-border-as-tensions-spike/3859804,"(""Shebaa"" OR ""Chebaa"" OR ""Shabaa"") AND Lebanon","[alias match: ""shebaa""] Confirmed via full-text fetch, base/generic query. alias match: ""shebaa"""
LD-2026-03-09-شوكين (Shawkin),شوكين (Shawkin),2026-03-09,uncovered,,"(""Shawkin"" OR ""Chaoukine"") AND Lebanon",Zero results at D0-D3.
LD-2026-03-09-طير دبا (Tair Debba),طير دبا (Tair Debba),2026-03-09,covered,https://www.aa.com.tr/en/middle-east/16-killed-dozens-injured-in-israeli-strikes-in-southern-lebanon/3856510,"(""Tair Debba"" OR ""Tayr Debba"" OR ""Teir Debba"") AND Lebanon","[alias match: ""tayr debba""] Confirmed via full-text fetch, base/generic query. alias match: ""tayr debba"""
LD-2026-03-09-كفرتبنيت (Kfartebnit),كفرتبنيت (Kfartebnit),2026-03-09,uncovered,,"(""Kfartebnit"" OR ""Kfar Tebnit"" OR ""Kfartibnit"") AND Lebanon","Zero results at D0-D3. Secondary D+7 indicator: 1 results (not confirmed to an article, informational only)."
LD-2026-03-10-الأوزاعي (Ouzai),الأوزاعي (Ouzai),2026-03-10,uncovered,,"(""Ouzai"" OR ""Ouzai"" OR ""Awzai"" OR ""Al-Ouzai"") AND Lebanon",Zero results at D0-D3.
LD-2026-03-10-الحوش (Al-Hosh),الحوش (Al-Hosh),2026-03-10,uncovered,,"(""Hosh"" OR ""El-Hosh"" OR ""Al-Hosh"") AND Lebanon",Zero results at D0-D3.
